model,threshold,acc,sens,spec,cap_flagged_out,cap_risk_total
GLM,0.46,0.853781512605042,0.7661822985468957,0.9182879377431906,50798931.27777814,50971431.09051144
GLM,0.47,0.8526610644257703,0.760898282694848,0.9202334630350194,51334603.11111148,50971431.09051144
GLM,0.48,0.8509803921568627,0.7556142668428005,0.9212062256809338,52307926.44444481,50971431.09051144
GLM,0.49,0.8487394957983193,0.7490092470277411,0.9221789883268483,52840326.2222226,50971431.09051144
GLM,0.5,0.8476190476190476,0.7450462351387054,0.9231517509727627,53071774.3333337,50971431.09051144
GLM,0.51,0.8464985994397759,0.7424042272126816,0.9231517509727627,53275987.33333367,50971431.09051144
GLM,0.52,0.8448179271708683,0.7371202113606341,0.9241245136186771,53596735.88888922,50971431.09051144
GLM,0.53,0.8442577030812325,0.7331571994715984,0.9260700389105059,54578001.944444776,50971431.09051144
GLM,0.54,0.8436974789915966,0.7305151915455746,0.9270428015564203,55151608.61111144,50971431.09051144
GLM,0.55,0.8453781512605042,0.7278731836195509,0.9319066147859922,56585491.77777809,50971431.09051144
GLM,0.56,0.8414565826330532,0.7186261558784677,0.9319066147859922,57700604.00000031,50971431.09051144
GLM,0.5700000000000001,0.8380952380952381,0.7107001321003963,0.9319066147859922,58825581.611111425,50971431.09051144
GLM,0.5800000000000001,0.8369747899159664,0.7067371202113606,0.9328793774319066,60150062.72222254,50971431.09051144
GLM,0.5900000000000001,0.8369747899159664,0.7014531043593131,0.9367704280155642,63678960.11111138,50971431.09051144
GLM,0.6000000000000001,0.8352941176470589,0.6948480845442536,0.938715953307393,65077363.38888912,50971431.09051144
GLM,0.6100000000000001,0.8330532212885154,0.6869220607661823,0.9406614785992218,66003050.61111132,50971431.09051144
GLM,0.6200000000000001,0.8291316526610645,0.6776750330250991,0.9406614785992218,66298957.500000216,50971431.09051144
GLM,0.63,0.8302521008403362,0.6763540290620872,0.943579766536965,68356905.77777807,50971431.09051144
GLM,0.64,0.8291316526610645,0.6710700132100397,0.9455252918287937,68876833.72222243,50971431.09051144
GLM,0.65,0.8280112044817927,0.6684280052840158,0.9455252918287937,68973268.72222243,50971431.09051144
GLM,0.66,0.8257703081232493,0.6618229854689565,0.9464980544747081,69567820.00000018,50971431.09051144
GLM,0.67,0.8257703081232493,0.6578599735799208,0.9494163424124513,71961510.94444433,50971431.09051144
GLM,0.68,0.8246498599439775,0.6538969616908851,0.9503891050583657,72504193.05555546,50971431.09051144
GLM,0.6900000000000001,0.8240896358543417,0.6525759577278731,0.9503891050583657,72559547.8888888,50971431.09051144
GLM,0.7000000000000001,0.82296918767507,0.6486129458388376,0.9513618677042801,73804180.55555536,50971431.09051144
GLM,0.7100000000000001,0.8224089635854341,0.6459709379128138,0.9523346303501945,74367374.99999967,50971431.09051144
GLM,0.7200000000000001,0.8207282913165266,0.6406869220607662,0.953307392996109,75644216.38888851,50971431.09051144
GLM,0.7300000000000001,0.8184873949579832,0.6340819022457067,0.9542801556420234,75962992.11111069,50971431.09051144
GLM,0.7400000000000001,0.8162464985994398,0.6287978863936592,0.9542801556420234,76272464.77777733,50971431.09051144
